Column1,                                     ,date,amount,transaction_id,rate, ,product,,,,
0,19734,12/5/2022 4:55,188,pos_1652331353995374188,0.01,2,pos,,,,
1,32238,14/08/2022 10:40:34,90,pos_1660473634248388090,0.01,2,pos,,,,
2,89439,20/06/2021 03:27:30,29123232323,pr_1624159650069115998,0.03,0,pr,,,,
3,97206,22/11/2021 06:38:37,602,pr_1637563117245903602,0.03,0,pr,,,,
4,1935,19/05/2021 22:57:45,39,pos_1621465065131486039,0.01,2,pos,,,,
5,141504,20/12/2022 15:57:49,256,pp_1671551868739718256,0.025,2,pp,,,,
6,31097,7/8/2022 18:37,310,pos_1659897422486214310,0.01,2,pos,,,,
7,1398,19/04/2021 10:59:46,28,pos_1618829986308460028,0.01,2,pos,,,,
8,77834,19/12/2022 12:41:09,49,pos_1671453669285835049,0.01,2,pos,,,,
9,54853,29/11/2022 07:44:50,14,pos_1669707889792441014,0.01,2,pos,,,,
10,125690,11/10/2021 7:04,1213,pp_1633935851529520213,0.025,2,pp,,,,
11,99867,10/1/2022 16:46,2931,pr_1641833169098208931,0.03,0,pr,,,,
12,53747,25/11/2022 08:39:41,111,pos_1669365581345667111,0.01,2,pos,,,,
13,59576,7/10/2022 14:50,84,pos_1665154252486525084,0.01,2,pos,,,,
14,134002,26/06/2022 10:26:44,1579,pp_1656239203986511579,0.025,2,pp,,,,
15,25955,3/7/2022 15:51,127,pos_1656863484279046127,0.01,2,pos,,,,
16,89841,28/06/2021 17:38:57,2728,pr_1624901936777605728,0.03,0,pr,,,,
17,127708,11/1/2022 6:42,721,pp_1641883348940692721,0.025,2,pp,,,,
18,45941,24/10/2022 13:24:32,254,pos_1666617871565246254,0.01,2,pos,,,,
19,104282,28/03/2022 12:24:46,1314,pr_1648470286095415314,0.03,0,pr,,,,
20,117859,2/11/2022 13:35,178,pr_1667396157612058178,0.03,0,pr,,,,
21,37528,14/09/2022 06:27:11,101,pos_1663136831334600101,0.01,2,pos,,,,
22,688,1/3/2021 13:32,48,pos_1614605578907974048,0.01,2,pos,,,,
23,45934,24/10/2022 04:31:01,146,pos_1666585860994686146,0.01,2,pos,,,,
24,115599,24/09/2022 06:06:58,1232323236,pr_1663999617849122986,0.03,0,pr,,,,                                                                                                                                                       
25,28001,18/07/2022 13:06:58,57,pos_1658149617587574057,0.01,2,pos,,,,
26,85139,17/03/2021 09:13:07,616,pr_1615972387176362616,0.03,0,pr,,,,
27,53073,23/11/2022 07:27:50,121,pos_1669188469667341121,0.01,2,pos,,,,
28,2932,7/7/2021 9:09,54,pos_1625648999271061054,0.01,2,pos,,,,
29,86392,14/04/2021 07:25:45,1040,pr_1618385144821105040,0.03,0,pr,,,,
30,41020,1/10/2022 9:00,92,pos_1664614832370425092,0.01,2,pos,,,,
31,133727,19/06/2022 14:01:05,5,pp_1655647265212338005,0.025,2,pp,,,,
32,82916,24/01/2021 07:01:32,1113,pr_1611471692413204113,0.03,0,pr,,,,
33,109200,13/06/2022 11:06:47,465,pr_1655118406621859465,0.03,0,pr,,,,
